0.01	-4		1
0.11	-4		1
0.21	-4		1
0.31	-4		1
0.41	-4		1
0.51	-4		1
0.61	-4		1
0.71	-4		1
0.81	-4		1
0.91	-4		1
1.01	-3.98098		0.997622
1.11	-4		1
1.21	-3.95244		0.992866
1.31	-3.95244		0.992866
1.41	-3.94293		0.992866
1.51	-3.89536		0.985731
1.61	-3.86683		0.983353
1.71	-3.83829		0.976219
1.81	-3.72414		0.952438
1.91	-3.59096		0.940547
2.01	-3.41974		0.904875
2.11	-3.28656		0.857313
2.21	-3.36266		0.904875
2.31	-2.91558		0.793103
2.41	-2.43995		0.674197
2.51	-2.49703		0.319857
2.61	-2.1736		0.158145
2.71	-1.68847		0.0725327
2.81	-1.70749		0.248514
2.91	-1.66944		0.0677765
3.01	-1.65993		0.170036
3.11	-1.46968		0.110583
3.21	-1.23187		0.0463734
3.31	-1.6409		0.020214
3.41	-1.46017		0.039239
3.51	-1.35553		0.0249703
3.61	-1.26992		0.0321046
3.71	-1.32699		0.0154578
3.81	-1.46968		0.127229
3.91	-1.27943		0.0321046
